epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,336.715,1.37453,3.10045,1.44101,0.8674,0.13277,0.1475,0.09044,1.35686,2.04789,1.38731,0.0670815,0.00033251,0.00033251
2,674.222,1.31214,1.92849,1.38624,0.90532,0.20328,0.21909,0.12936,1.35667,1.54433,1.35433,0.0340808,0.000665193,0.000665193
3,1029.69,1.26336,1.62512,1.3475,0.79115,0.22114,0.24422,0.14318,1.34382,1.35667,1.34571,0.00107758,0.000995277,0.000995277
4,1401.41,1.24248,1.4775,1.32792,0.67468,0.27922,0.28561,0.16681,1.329,1.24309,1.31948,0.000991232,0.000991232,0.000991232
5,1771.72,1.22473,1.39189,1.31001,0.65986,0.29968,0.30769,0.18361,1.28485,1.17075,1.29534,0.000984449,0.000984449,0.000984449
6,2148.48,1.20206,1.31899,1.2961,0.70253,0.30646,0.32293,0.18778,1.314,1.14205,1.29923,0.000975773,0.000975773,0.000975773
7,2520.61,1.19516,1.28878,1.29143,0.697,0.31651,0.33629,0.19549,1.31812,1.10531,1.30005,0.000965239,0.000965239,0.000965239
8,2888.9,1.182,1.2537,1.28139,0.69346,0.32541,0.34259,0.20044,1.28236,1.07426,1.27414,0.000952889,0.000952889,0.000952889
9,3248.75,1.17231,1.23495,1.27358,0.6861,0.3245,0.34726,0.2051,1.26822,1.06314,1.27404,0.000938772,0.000938772,0.000938772
10,3621.23,1.16211,1.20233,1.26412,0.62043,0.32685,0.35223,0.21122,1.22766,1.0435,1.24972,0.000922942,0.000922942,0.000922942
11,3989.93,1.15862,1.18393,1.26432,0.63062,0.34182,0.36374,0.21587,1.23709,1.01164,1.25207,0.000905463,0.000905463,0.000905463
12,4353.56,1.15312,1.17762,1.26022,0.62186,0.34302,0.36342,0.21734,1.21719,1.00929,1.24314,0.000886404,0.000886404,0.000886404
13,4718.35,1.13754,1.15083,1.25171,0.64821,0.34344,0.36951,0.22401,1.19986,0.99059,1.23428,0.000865839,0.000865839,0.000865839
14,5084.88,1.12953,1.12776,1.24458,0.64352,0.34319,0.37413,0.22586,1.18454,0.98304,1.22763,0.000843851,0.000843851,0.000843851
15,5439.71,1.12077,1.1076,1.23729,0.69539,0.35241,0.38087,0.22884,1.17571,0.97499,1.22367,0.000820525,0.000820525,0.000820525
16,5778.94,1.12178,1.10004,1.23498,0.63071,0.36162,0.38492,0.23272,1.15873,0.96806,1.21291,0.000795954,0.000795954,0.000795954
17,6118.52,1.1112,1.08922,1.23662,0.6694,0.36258,0.39202,0.23889,1.1634,0.95266,1.21726,0.000770234,0.000770234,0.000770234
18,6444.67,1.10792,1.07934,1.23048,0.60937,0.36683,0.3894,0.23753,1.1555,0.94144,1.21067,0.000743468,0.000743468,0.000743468
19,6773.14,1.10392,1.06203,1.22317,0.60999,0.36764,0.39733,0.24473,1.13938,0.92915,1.20422,0.000715761,0.000715761,0.000715761
20,7105.46,1.10254,1.05828,1.2232,0.61569,0.38374,0.41011,0.24953,1.13004,0.92003,1.20251,0.000687222,0.000687222,0.000687222
21,7448.65,1.09168,1.04324,1.21958,0.73735,0.35895,0.41142,0.24808,1.16085,0.92987,1.20945,0.000657963,0.000657963,0.000657963
22,7769.15,1.08714,1.02938,1.21658,0.6026,0.3944,0.41818,0.2506,1.13789,0.91063,1.19984,0.000628101,0.000628101,0.000628101
23,8104.67,1.08894,1.03364,1.21688,0.62227,0.37834,0.41192,0.25179,1.12477,0.91008,1.19476,0.000597754,0.000597754,0.000597754
24,8412.16,1.08746,1.02444,1.21386,0.65096,0.37376,0.41681,0.25534,1.13255,0.90199,1.19855,0.00056704,0.00056704,0.00056704
25,8720.28,1.07908,1.01759,1.20951,0.69364,0.38602,0.41875,0.25469,1.12422,0.90168,1.19432,0.000536081,0.000536081,0.000536081
26,9066.48,1.07013,1.00799,1.20612,0.61714,0.39677,0.42368,0.25633,1.12789,0.89048,1.19596,0.000505,0.000505,0.000505
27,9435.42,1.07434,1.00632,1.20701,0.70177,0.39088,0.4272,0.26012,1.11758,0.88781,1.19204,0.000473919,0.000473919,0.000473919
28,9835.74,1.07058,0.99129,1.20377,0.61475,0.39864,0.42587,0.25983,1.12094,0.88617,1.19118,0.00044296,0.00044296,0.00044296
29,10225.6,1.06446,0.99152,1.20066,0.60287,0.42559,0.43397,0.26368,1.12867,0.8817,1.19612,0.000412246,0.000412246,0.000412246
30,10625.9,1.0595,0.9762,1.20105,0.64883,0.39587,0.43744,0.26648,1.1241,0.87945,1.19431,0.000381899,0.000381899,0.000381899
31,11024.4,1.0551,0.98084,1.19433,0.70873,0.39923,0.43676,0.26834,1.10791,0.87204,1.18697,0.000352037,0.000352037,0.000352037
32,11420.5,1.0523,0.96493,1.1925,0.65647,0.4004,0.43331,0.26857,1.10316,0.86951,1.18482,0.000322778,0.000322778,0.000322778
33,11811.6,1.05198,0.96515,1.19388,0.6137,0.41495,0.43522,0.26764,1.10641,0.86993,1.18367,0.000294239,0.000294239,0.000294239
34,12204.8,1.05189,0.96224,1.18993,0.66985,0.41469,0.43785,0.26906,1.10214,0.86644,1.18462,0.000266532,0.000266532,0.000266532
35,12601.2,1.04597,0.95,1.1874,0.64365,0.40734,0.44376,0.27287,1.09931,0.86416,1.18429,0.000239766,0.000239766,0.000239766
36,12990.3,1.04407,0.95465,1.18845,0.63067,0.40301,0.43701,0.26959,1.09681,0.86118,1.1806,0.000214046,0.000214046,0.000214046
37,13383.4,1.04075,0.95167,1.18769,0.63582,0.40546,0.44077,0.2722,1.10756,0.8617,1.18647,0.000189475,0.000189475,0.000189475
38,13774.5,1.0393,0.94776,1.1832,0.6441,0.39999,0.4423,0.27328,1.10256,0.85898,1.1833,0.000166149,0.000166149,0.000166149
39,14123.8,1.03932,0.94415,1.18103,0.63044,0.4161,0.44202,0.27288,1.09639,0.85832,1.17984,0.000144161,0.000144161,0.000144161
40,14464.1,1.03829,0.94561,1.18351,0.6866,0.41063,0.44205,0.27274,1.09382,0.85513,1.17923,0.000123596,0.000123596,0.000123596
41,14819.6,1.01944,0.9542,1.14374,0.64925,0.39304,0.43561,0.26597,1.11157,0.87783,1.18859,0.000104537,0.000104537,0.000104537
42,15159.8,1.00374,0.91739,1.13127,0.63556,0.39816,0.44227,0.26974,1.10471,0.87082,1.18366,8.70577e-05,8.70577e-05,8.70577e-05
43,15481.6,0.99947,0.91066,1.12789,0.63885,0.39596,0.44371,0.27172,1.10117,0.86905,1.18138,7.12282e-05,7.12282e-05,7.12282e-05
44,15796.7,0.99723,0.90401,1.12775,0.64322,0.40061,0.44492,0.2719,1.10561,0.86763,1.18335,5.71106e-05,5.71106e-05,5.71106e-05
45,16115.3,0.99316,0.9025,1.12535,0.62783,0.40578,0.44368,0.27238,1.1037,0.8646,1.18263,4.47606e-05,4.47606e-05,4.47606e-05
46,16434.7,0.99132,0.90075,1.12864,0.6745,0.39186,0.44557,0.27292,1.1051,0.86414,1.18214,3.4227e-05,3.4227e-05,3.4227e-05
47,16755.9,0.99095,0.89865,1.12457,0.64274,0.40494,0.44604,0.27358,1.10537,0.86328,1.18226,2.55513e-05,2.55513e-05,2.55513e-05
48,17094,0.99095,0.89279,1.12289,0.64635,0.39705,0.44551,0.2737,1.10259,0.86277,1.18203,1.87678e-05,1.87678e-05,1.87678e-05
49,17397.6,0.98963,0.89644,1.12288,0.63921,0.40345,0.44651,0.27463,1.10171,0.86161,1.18149,1.39032e-05,1.39032e-05,1.39032e-05
50,17699,0.98966,0.89562,1.12279,0.64431,0.40432,0.44804,0.275,1.10314,0.86215,1.18161,1.09768e-05,1.09768e-05,1.09768e-05
