epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,323.259,1.56869,2.04009,1.55256,0.78327,0.18981,0.21289,0.10171,1.74671,1.6447,1.61319,0.0669152,0.000166255,0.000166255
2,671.405,1.44894,1.48029,1.47082,0.70491,0.25775,0.27386,0.14991,1.48347,1.34357,1.43824,0.0337477,0.000332019,0.000332019
3,1012.51,1.40732,1.35464,1.44926,0.51572,0.29208,0.29567,0.1454,1.63423,1.25208,1.50751,0.000576489,0.000494184,0.000494184
4,1351.3,1.37736,1.28102,1.42124,0.53483,0.3122,0.32463,0.18579,1.33883,1.15126,1.35307,0.000487886,0.000487886,0.000487886
5,1694.06,1.35766,1.23271,1.40301,0.63573,0.30882,0.33514,0.19258,1.32853,1.11811,1.34183,0.000478603,0.000478603,0.000478603
6,2026.22,1.33311,1.17439,1.3874,0.57097,0.33762,0.35382,0.20095,1.36548,1.08812,1.34727,0.000466841,0.000466841,0.000466841
7,2352.36,1.31883,1.15896,1.38048,0.66074,0.33637,0.37558,0.22126,1.28823,1.06227,1.3197,0.000452732,0.000452732,0.000452732
8,2672.81,1.31137,1.13339,1.37259,0.65287,0.34828,0.37745,0.21122,1.37514,1.01948,1.34849,0.000436428,0.000436428,0.000436428
9,2993.97,1.28997,1.1173,1.35716,0.64687,0.3452,0.37719,0.22301,1.26665,1.02101,1.29109,0.00041811,0.00041811,0.00041811
10,3316.21,1.28239,1.08579,1.34883,0.53233,0.36363,0.39673,0.22544,1.32442,1.00692,1.31446,0.000397977,0.000397977,0.000397977
11,3642.17,1.27125,1.0636,1.34588,0.52788,0.38503,0.39879,0.23407,1.25755,0.96714,1.28502,0.00037625,0.00037625,0.00037625
12,3967.5,1.26455,1.05695,1.33975,0.6043,0.36644,0.39573,0.23499,1.23777,0.94283,1.27533,0.000353167,0.000353167,0.000353167
13,4293.13,1.24558,1.02994,1.32616,0.56094,0.39299,0.41849,0.24658,1.20872,0.92893,1.26047,0.000328982,0.000328982,0.000328982
14,4615.91,1.23492,1.00779,1.31782,0.46439,0.41004,0.41965,0.25001,1.20245,0.92249,1.25062,0.000303958,0.000303958,0.000303958
15,4940.67,1.21988,0.98822,1.30387,0.57043,0.39295,0.41843,0.25007,1.20987,0.89741,1.25137,0.000278371,0.000278371,0.000278371
16,5268.63,1.21714,0.97721,1.29918,0.59372,0.38082,0.42416,0.25538,1.18747,0.8877,1.23922,0.0002525,0.0002525,0.0002525
17,5590.99,1.20269,0.96534,1.29952,0.61534,0.40787,0.44469,0.26441,1.20427,0.88329,1.24774,0.000226629,0.000226629,0.000226629
18,5913.06,1.19647,0.95216,1.29065,0.50005,0.43845,0.45373,0.27131,1.19381,0.85607,1.23488,0.000201042,0.000201042,0.000201042
19,6240.17,1.18706,0.93325,1.27988,0.49761,0.43832,0.4524,0.2768,1.15455,0.84765,1.22381,0.000176018,0.000176018,0.000176018
20,6564.01,1.17642,0.92595,1.27499,0.57532,0.42393,0.45532,0.27629,1.16531,0.84297,1.22347,0.000151833,0.000151833,0.000151833
21,6915.55,1.14863,0.84209,1.25112,0.54813,0.44335,0.46407,0.28066,1.16832,0.83259,1.22273,0.00012875,0.00012875,0.00012875
22,7255.53,1.13084,0.81153,1.24195,0.57059,0.43494,0.46747,0.28477,1.15565,0.8273,1.21748,0.000107023,0.000107023,0.000107023
23,7601.62,1.11829,0.79738,1.23205,0.52801,0.44749,0.47069,0.28387,1.15067,0.81667,1.21206,8.68902e-05,8.68902e-05,8.68902e-05
24,7941.34,1.11061,0.78518,1.22859,0.57239,0.43948,0.47303,0.28935,1.14783,0.80615,1.20833,6.85717e-05,6.85717e-05,6.85717e-05
25,8285.99,1.10703,0.77783,1.2258,0.55839,0.44892,0.4721,0.28704,1.15216,0.80911,1.2094,5.22683e-05,5.22683e-05,5.22683e-05
26,8631.5,1.10042,0.77035,1.22141,0.55734,0.44154,0.47532,0.29081,1.14572,0.79823,1.20872,3.81587e-05,3.81587e-05,3.81587e-05
27,8977.4,1.09045,0.76133,1.21341,0.51659,0.46054,0.47096,0.29183,1.12635,0.79583,1.20103,2.63975e-05,2.63975e-05,2.63975e-05
28,9324.39,1.08923,0.75542,1.21249,0.5444,0.45509,0.47547,0.29219,1.13657,0.79414,1.20296,1.71135e-05,1.71135e-05,1.71135e-05
29,9670.02,1.08847,0.75439,1.21471,0.59536,0.42939,0.47494,0.29118,1.13973,0.79229,1.20384,1.04085e-05,1.04085e-05,1.04085e-05
30,10017.5,1.08354,0.7524,1.21193,0.57509,0.43629,0.47693,0.29306,1.13536,0.79013,1.20224,6.35583e-06,6.35583e-06,6.35583e-06
