epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,528.41,1.99397,3.27805,2.3058,0.42261,0.08255,0.06724,0.02081,2.08987,2.94304,2.23179,0.0667111,3.32922e-06,3.32922e-06
2,1107.44,1.91536,2.98031,2.24306,0.52079,0.1101,0.11004,0.03236,2.18764,2.59637,2.29788,0.0333811,6.66091e-06,6.66091e-06
3,1722.34,1.89762,2.84372,2.20269,0.63765,0.12482,0.13086,0.0409,2.11287,2.43744,2.18795,5.11383e-05,9.98602e-06,9.98602e-06
4,2320.72,1.87452,2.7612,2.17008,0.63824,0.13878,0.14725,0.04698,2.11093,2.35962,2.16961,9.97781e-06,9.97781e-06,9.97781e-06
5,2878.24,1.86298,2.71274,2.15073,0.64811,0.14678,0.15766,0.05188,2.09421,2.27909,2.14607,9.96058e-06,9.96058e-06,9.96058e-06
6,3437.1,1.85704,2.66795,2.13305,0.68424,0.14848,0.1631,0.05278,2.10793,2.25108,2.14861,9.93845e-06,9.93845e-06,9.93845e-06
7,3957.73,1.84479,2.62555,2.11177,0.68572,0.158,0.17108,0.05671,2.09203,2.18067,2.12634,9.91145e-06,9.91145e-06,9.91145e-06
8,4561.99,1.83447,2.60354,2.10317,0.67955,0.16454,0.17243,0.05543,2.12642,2.15606,2.15431,9.8796e-06,9.8796e-06,9.8796e-06
9,5174.7,1.83129,2.56746,2.09009,0.67831,0.17345,0.1809,0.06042,2.09405,2.10929,2.1245,9.84293e-06,9.84293e-06,9.84293e-06
10,5811.66,1.82161,2.54212,2.07233,0.67947,0.175,0.18244,0.06072,2.10484,2.07779,2.12687,9.80149e-06,9.80149e-06,9.80149e-06
11,6444.87,1.81867,2.52728,2.06732,0.74094,0.17729,0.18554,0.06077,2.12274,2.06135,2.14122,9.75531e-06,9.75531e-06,9.75531e-06
12,7014.41,1.80925,2.51466,2.06146,0.79947,0.17842,0.18705,0.06225,2.11142,2.04086,2.12982,9.70443e-06,9.70443e-06,9.70443e-06
13,7570.12,1.80012,2.48974,2.04278,0.80345,0.18168,0.19099,0.06509,2.09764,2.01807,2.11555,9.64892e-06,9.64892e-06,9.64892e-06
14,8115.62,1.79497,2.47011,2.03566,0.87021,0.18108,0.19452,0.06695,2.08429,1.99053,2.10238,9.58881e-06,9.58881e-06,9.58881e-06
15,8669.06,1.78752,2.45126,2.02585,0.87031,0.18414,0.19742,0.07083,2.04466,1.96842,2.06792,9.52418e-06,9.52418e-06,9.52418e-06
16,9217.05,1.7814,2.43864,2.00953,0.86857,0.18489,0.19716,0.06814,2.0769,1.96888,2.09477,9.45509e-06,9.45509e-06,9.45509e-06
17,9762,1.77636,2.42415,2.00592,0.8729,0.18515,0.19945,0.06938,2.08683,1.94782,2.09196,9.3816e-06,9.3816e-06,9.3816e-06
