epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,357.945,1.31722,2.30554,1.34621,0.70631,0.22615,0.24202,0.14747,1.24001,1.3408,1.30143,0.000158275,0.000158275,0.000158275
2,704.585,1.24518,1.38909,1.28473,0.52822,0.28334,0.2909,0.1739,1.23661,1.25796,1.28992,0.000310666,0.000310666,0.000310666
3,1065.2,1.22647,1.28778,1.27384,0.70848,0.29499,0.31215,0.1853,1.23302,1.19075,1.2884,0.000456774,0.000456774,0.000456774
4,1387.02,1.21666,1.22289,1.25949,0.63152,0.30767,0.33789,0.20239,1.19888,1.10981,1.24426,0.000447726,0.000447726,0.000447726
5,1734.03,1.20015,1.1663,1.24665,0.68895,0.31607,0.34369,0.21107,1.16424,1.04917,1.2352,0.000438301,0.000438301,0.000438301
6,2086.73,1.17357,1.0985,1.22888,0.67699,0.33878,0.36714,0.22403,1.16534,1.01164,1.22879,0.000428876,0.000428876,0.000428876
7,2438.07,1.16651,1.07696,1.22581,0.57537,0.35092,0.37368,0.22402,1.17528,1.06241,1.23141,0.000419451,0.000419451,0.000419451
8,2786.3,1.15839,1.05342,1.21775,0.69285,0.36607,0.38766,0.24038,1.12599,0.97097,1.19828,0.000410026,0.000410026,0.000410026
9,3135.8,1.14613,1.02934,1.20587,0.54237,0.38865,0.39831,0.23889,1.14331,0.96196,1.20592,0.000400602,0.000400602,0.000400602
10,3484.18,1.13705,0.99657,1.20035,0.50087,0.38254,0.40566,0.24611,1.14573,0.96154,1.20356,0.000391177,0.000391177,0.000391177
11,3839.33,1.13188,0.98058,1.20017,0.63776,0.38926,0.42833,0.25732,1.1335,0.93085,1.19856,0.000381752,0.000381752,0.000381752
12,4185.95,1.12946,0.9758,1.19837,0.55214,0.39508,0.41835,0.25276,1.12941,0.90383,1.1981,0.000372327,0.000372327,0.000372327
13,4532.3,1.115,0.95519,1.19039,0.50692,0.39809,0.42137,0.25876,1.11613,0.90291,1.18372,0.000362902,0.000362902,0.000362902
14,4885.05,1.10889,0.93184,1.18218,0.55435,0.41915,0.43938,0.26467,1.11008,0.89028,1.18695,0.000353478,0.000353478,0.000353478
15,5234.42,1.09741,0.91274,1.17442,0.63222,0.43103,0.44399,0.27268,1.10573,0.8713,1.17492,0.000344053,0.000344053,0.000344053
16,5606.01,1.09984,0.9037,1.17174,0.5151,0.4457,0.45252,0.27895,1.10089,0.86839,1.17762,0.000334628,0.000334628,0.000334628
17,5991.68,1.09063,0.90105,1.17388,0.57694,0.43608,0.46197,0.28084,1.09891,0.86419,1.17063,0.000325203,0.000325203,0.000325203
18,6366.04,1.08884,0.88918,1.16756,0.60228,0.41922,0.45952,0.28418,1.09303,0.85008,1.16108,0.000315778,0.000315778,0.000315778
19,6714.91,1.08131,0.87811,1.15927,0.53769,0.44214,0.46486,0.28506,1.09529,0.84886,1.1657,0.000306354,0.000306354,0.000306354
20,7069.86,1.07785,0.86962,1.15678,0.53567,0.45791,0.46728,0.28902,1.08449,0.83515,1.15788,0.000296929,0.000296929,0.000296929
21,7463.2,1.0707,0.85988,1.15626,0.55582,0.42351,0.4675,0.2897,1.08817,0.83666,1.15813,0.000287504,0.000287504,0.000287504
22,7831.06,1.06414,0.8468,1.14992,0.54883,0.44965,0.46938,0.29187,1.07531,0.82084,1.15198,0.000278079,0.000278079,0.000278079
23,8181.76,1.06377,0.84718,1.15024,0.66091,0.44197,0.48198,0.29888,1.07685,0.81984,1.15393,0.000268654,0.000268654,0.000268654
24,8529.26,1.05745,0.84024,1.14856,0.55017,0.45576,0.48136,0.29521,1.06572,0.80626,1.14983,0.00025923,0.00025923,0.00025923
25,8873.71,1.05202,0.83089,1.14291,0.61121,0.4385,0.477,0.29922,1.06703,0.80507,1.14455,0.000249805,0.000249805,0.000249805
26,9220.31,1.04245,0.82199,1.14037,0.58705,0.4473,0.48586,0.3037,1.06787,0.79981,1.14702,0.00024038,0.00024038,0.00024038
27,9563.42,1.04594,0.81931,1.13824,0.57288,0.46564,0.49976,0.30938,1.06757,0.79809,1.14675,0.000230955,0.000230955,0.000230955
28,9905.52,1.03989,0.80863,1.13584,0.60584,0.46299,0.4828,0.30297,1.05479,0.79551,1.13954,0.00022153,0.00022153,0.00022153
29,10252.4,1.03356,0.80533,1.13238,0.59183,0.46998,0.49649,0.31127,1.05475,0.78888,1.13932,0.000212106,0.000212106,0.000212106
30,10587,1.02986,0.79298,1.13332,0.58826,0.47451,0.50774,0.31507,1.05598,0.77776,1.13921,0.000202681,0.000202681,0.000202681
31,10938.3,1.02547,0.79101,1.12604,0.60645,0.49246,0.5209,0.32085,1.0466,0.76425,1.1319,0.000193256,0.000193256,0.000193256
32,11283.7,1.02176,0.7813,1.12462,0.60946,0.47994,0.50283,0.31439,1.05013,0.77389,1.1322,0.000183831,0.000183831,0.000183831
33,11632.4,1.01751,0.77576,1.12414,0.60405,0.47331,0.50678,0.31502,1.04608,0.76574,1.13127,0.000174406,0.000174406,0.000174406
34,11984.7,1.02014,0.77379,1.123,0.62518,0.46702,0.50894,0.31923,1.04422,0.76277,1.13328,0.000164982,0.000164982,0.000164982
35,12331.9,1.01029,0.76122,1.11686,0.6341,0.45927,0.5113,0.32161,1.03971,0.75711,1.13115,0.000155557,0.000155557,0.000155557
36,12682.2,1.00858,0.76352,1.11732,0.60879,0.47226,0.51684,0.32029,1.04123,0.76304,1.12951,0.000146132,0.000146132,0.000146132
37,13051.2,1.00331,0.75668,1.11612,0.61972,0.48598,0.51743,0.32534,1.03767,0.75398,1.12738,0.000136707,0.000136707,0.000136707
38,13372.9,0.99504,0.75047,1.10939,0.61103,0.48279,0.51164,0.3222,1.04329,0.75801,1.12972,0.000127282,0.000127282,0.000127282
39,13693.2,0.99896,0.74606,1.1067,0.5903,0.47045,0.51109,0.32207,1.0399,0.7548,1.12763,0.000117858,0.000117858,0.000117858
40,14003.7,0.99558,0.74476,1.10891,0.60104,0.48417,0.52034,0.32479,1.03908,0.74627,1.12509,0.000108433,0.000108433,0.000108433
41,14366.5,0.98184,0.69326,1.09275,0.61742,0.48933,0.5212,0.32479,1.03871,0.74718,1.12475,9.9008e-05,9.9008e-05,9.9008e-05
42,14703.3,0.96517,0.6716,1.08388,0.60752,0.50091,0.5238,0.32623,1.03974,0.74337,1.12667,8.95832e-05,8.95832e-05,8.95832e-05
43,15042.7,0.9611,0.66445,1.07879,0.58932,0.50012,0.51962,0.32493,1.03319,0.73912,1.12387,8.01584e-05,8.01584e-05,8.01584e-05
